Abashiri; Population = 38548; Area = 471; Founded = 1947-02-11
Abiko; Population = 133533; Area = 43.19; Founded = 1970-07-01
Agano; Population = 46158; Area = 192.72; Founded = 2004-04-01
Ageo; Population = 222479; Area = 45.55; Founded = 1958-07-15
Aioi; Population = 31973; Area = 90.45; Founded = 1942-10-01
Aira; Population = -; Area = 231.32; Founded = 2010-03-23
Aisai; Population = 65481; Area = 66.63; Founded = 2005-04-01
Aizuwakamatsu; Population = 129388; Area = 383.03; Founded = 1899-04-01
Akabira; Population = 12234; Area = 129.88; Founded = 1954-07-01
Akaiwa; Population = 43742; Area = 209.43; Founded = 2005-03-07
Akashi; Population = 292162; Area = 49.24; Founded = 1919-11-01
Aki; Population = 20555; Area = 317.34; Founded = 1954-08-01
Akiruno; Population = 80268; Area = 73.34; Founded = 1995-09-01
Akishima; Population = 111763; Area = 17.33; Founded = 1954-05-01
Akita; Population = 329287; Area = 905.67; Founded = 1889-04-01
Akitakata; Population = 32323; Area = 537.79; Founded = 2004-03-01
AkoAko; Population = 51277; Area = 126.88; Founded = 1951-09-01
Akune; Population = 24166; Area = 134.3; Founded = 1952-04-01
Ama; Population = -; Area = 27.59; Founded = 2010-03-22
Amagasaki; Population = 461202; Area = 49.77; Founded = 1916-04-01
Amakusa; Population = 93047; Area = 683.17; Founded = 2006-03-27
Amami; Population = 48116; Area = 306.2; Founded = 2006-03-20
Anan; Population = 77099; Area = 279.39; Founded = 1958-05-01
AnjoAnjo; Population = 176046; Area = 86.01; Founded = 1952-05-05
Annaka; Population = 62270; Area = 276.34; Founded = 2006-03-18
Aomori; Population = 305884; Area = 824.52; Founded = 2005-04-01
Arao; Population = 55505; Area = 57.15; Founded = 1942-04-01
Arida; Population = 31194; Area = 36.92; Founded = 1956-05-01
Asago; Population = 34084; Area = 402.98; Founded = 2005-04-01
Asahi; Population = 69971; Area = 129.91; Founded = 2005-07-01
Asahikawa; Population = 350511; Area = 747.6; Founded = 1922-08-01
Asaka; Population = 126902; Area = 18.38; Founded = 1967-03-15
Asakuchi; Population = 37108; Area = 66.46; Founded = 2006-03-21
Asakura; Population = 57881; Area = 246.73; Founded = 2006-03-20
Ashibetsu; Population = 16465; Area = 865.02; Founded = 1953-04-01
Ashikaga; Population = 157793; Area = 177.82; Founded = 1921-01-01
Ashiya; Population = 92828; Area = 18.47; Founded = 1940-11-10
Aso; Population = 29149; Area = 376.25; Founded = 2005-02-11
Atami; Population = 40524; Area = 61.56; Founded = 1937-04-10
Atsugi; Population = 225163; Area = 93.83; Founded = 1955-02-01
Awa; Population = 40303; Area = 190.97; Founded = 2005-04-01
Awaji; Population = 47849; Area = 184.21; Founded = 2005-04-01
Awara; Population = 30765; Area = 116.99; Founded = 2004-03-01
Ayabe; Population = 37081; Area = 347.11; Founded = 1950-08-01
